"category","2012","2014","2016","2018","all"
"number-of-tweets","1471","4118","4735","3942",14207
"number-of-tweets-old","1284","4098","3490","3202",12071
"number-of-tweets-api-koenig-ramisch","1215","4008","4481","3678",13323
"number-of-tweets-api-new","1201","3766","4234","3520",12664
"number-of-orig-tweets-absolute-api","829","2210","1877","1166",6061
"number-of-orig-tweets-relative-api","0.69","0.587","0.443","0.331",0.479
"number-of-retweets-absolute-api","372","1556","2359","2357",6608
"number-of-retweets-relative-api","0.31","0.413","0.557","0.67",0.522
"number-of-favs-api","75","1911","5309","7903",15106
"number-of-replies-api","0","0","0","0",0
"number-of-identified-deleted-tweets-api+tags","270","352","499","419",1538
"number-of-users-api+tags","155","461","851","1045",1970
"number-of-users-orig-tweets-api+tags","78","189","283","309",663
"median-of-tweets-per-user-api+tags","2","1","1","1",1
"mean-of-tweets-per-user-api+tags","9.49","8.933","5.564","3.772",7.212
"number-of-links-absolute-api+tags","507","779","940","630",2854
"number-of-links-relative-api+tags","0.422","0.207","0.222","0.179",0.225
"number-of-links-orig-absolute-filtered-api+tags","317","367","280","245",1209
"number-of-links-orig-rel-filtered-api+tags","0.382","0.166","0.149","0.21",0.199
"number-of-photos-absolute-api","17","212","626","410",1265
"number-of-photos-relative-api","0.014","0.056","0.148","0.116",0.1
"number-of-mentions-absolute-api","679","2112","3024","2849",8621
"number-of-mentions-relative-api","0.565","0.561","0.714","0.809",0.68
"number-of-mentions-org-absolute-api","320","580","716","506",2115
