"gender","2012","2014","2016","2018","all"
"m","59","174","294","399","709"
"m-relative","0.381","0.377","0.345","0.382","0.36"
"f","26","96","225","304","515"
"f-relative","0.168","0.208","0.264","0.291","0.261"
"i","37","92","131","205","350"
"i-relative","0.239","0.2","0.154","0.196","0.178"
"e","2","14","38","38","76"
"e-relative","0.013","0.03","0.045","0.036","0.039"
"z","0","4","13","7","18"
"z-relative","0","0.009","0.015","0.007","0.009"
"a","24","79","129","88","268"
"a-relative","0.155","0.171","0.152","0.084","0.136"
"b","4","0","6","3","13"
"b-relative","0.026","0","0.007","0.003","0.007"
"u","3","2","15","1","21"
"u-relative","0.019","0.004","0.018","0.001","0.011"
"all","155","461","851","1045","1970"
